Provincia;Localidad;Denominación genérica;Denominación específica;Código;Naturaleza;Domicilio;C. Postal;Teléfono
Madrid;Alcorcón;Instituto de Educación Secundaria;JOSEFINA ALDECOA;28039700;Centro público;CALLE de Sahagún s/n;28925;916125261
Madrid;Alcorcón;Instituto de Educación Secundaria;LA ARBOLEDA;28036978;Centro público;AVDA del Oeste s/n;28922;916439991
Madrid;Aranjuez;Centro Privado de Educación Infantil Primaria y Secundaria;LOYOLA;28001605;Centro privado;CALLE de Valeras 24;28300;918910505
Madrid;Aranjuez;Instituto de Educación Secundaria;DOMENICO SCARLATTI;28001629;Centro público;CALLE de Valeras 22;28300;918910057
Madrid;Arroyo Meaques;Centro Privado de Educación Infantil Primaria y Secundaria;MONTE TABOR;28065759;Centro privado;PASEO de la Casa de Campo 2;28223;915122138
Madrid;Boadilla del Monte;Instituto de Educación Secundaria;ARQUITECTO VENTURA RODRIGUEZ;28058640;Centro público;CALLE de Severo Ochoa 4;28660;916336271
Madrid;Buitrago del Lozoya;Centro Privado de Educación Primaria y Secundaria;GSD  BUITRAGO;28001976;Centro privado;AVDA de Madrid 18;28730;918680150
Madrid;Collado Villalba;Centro Privado de Educación Primaria y Secundaria;VIRGEN DE LA ALMUDENA;28002427;Centro privado;CTRA Moralzarzal 10;28400;918500061
Madrid;Collado Villalba;Centro Privado de Formación Profesional Específica;F.P. UDIMA;28076393;Centro privado;CTRA Coruña, km. 38,500;28400;
Madrid;Collado Villalba;Instituto de Educación Secundaria;LAZARO CARDENAS;28045050;Centro público;CALLE Isla de Sálvora 153;28400;918514581
Madrid;Colmenar Viejo;Instituto de Educación Secundaria;ANGEL CORELLA;28036991;Centro público;CALLE del Pradillo 3;28770;918455650
Madrid;Coslada;Instituto de Educación Secundaria;LUIS BRAILLE;28042607;Centro público;CALLE de Luis Braille 42;28822;916697200
Madrid;Fuenlabrada;Centro Privado de Educación Infantil Primaria y Secundaria;LOS NARANJOS;28041275;Centro privado;AVDA de las Comarcas 70;28941;916159690
Madrid;Fuenlabrada;Instituto de Educación Secundaria;GASPAR MELCHOR DE JOVELLANOS;28033850;Centro público;CALLE de Móstoles 64;28941;916971512
Madrid;Fuenlabrada;Instituto de Educación Secundaria;JULIO CARO BAROJA;28039797;Centro público;CALLE de la Habana 2;28945;916060313
Madrid;Fuenlabrada;Instituto de Educación Secundaria;SALVADOR ALLENDE;28039803;Centro público;CALLE de Andalucía 12;28941;916977213
Madrid;Galapagar;Instituto de Educación Secundaria;INFANTA ELENA;28042620;Centro público;CTRA de Guadarrama 85;28260;918587730
Madrid;Getafe;Centro Privado de Educación Infantil Primaria y Secundaria;LA INMACULADA-PADRES ESCOLAPIOS;28003250;Centro privado;PLAZA Obispo Felipe Scio Riaza 1;28901;916951900
Madrid;Getafe;Centro Privado de Educación Secundaria;CAMPUS FP GETAFE ESCUELA DE NEGOCIOS Y TECNOLOGÍAS DE LA COMUNICACIÓN;28075595;Centro privado;AVDA de las Ciudades 10;28903;911833122
Madrid;Getafe;Centro Privado de Formación Profesional Específica;INGLAN;28025877;Centro privado;CALLE de la Paloma 5;28904;916951369
Madrid;Getafe;Centro Privado de Formación Profesional Específica;LIDER SYSTEM  FP GETAFE III;28079035;Centro privado;AVDA de Juan Carlos I 34;28905;
Madrid;Getafe;Centro Público de Educación de Personas Adultas;CASA DE LA CULTURA;28030101;Centro público;CALLE Guadalajara 3;28901;916959798
Madrid;Getafe;Instituto de Educación Secundaria;LAGUNA DE JOATZEL;28039827;Centro público;AVDA Vascongadas s/n;28903;916832026
Madrid;Griñón;Centro Privado de Educación Infantil Primaria y Secundaria;LA SALLE;28003419;Centro privado;CALLE Levante 1;28971;918140085
Madrid;Guadarrama;Centro Privado de Educación Infantil Primaria y Secundaria;GSD GUADARRAMA;28069303;Centro privado;CALLE Vereda de Colmenar 4;28440;918547059
Madrid;Humanes de Madrid;Centro Privado de Formación Profesional Específica;CAMPUS FP EMPRENDE;28076976;Centro privado;AVDA de la Industria 70;28970;810520405
Madrid;Humanes de Madrid;Instituto de Educación Secundaria;HUMANES;28045803;Centro público;AVDA de los Deportes 12;28970;914982020
Madrid;La Cabrera;Instituto de Educación Secundaria;DE LA CABRERA;28041381;Centro público;CALLE de las Azucenas 12;28751;918688411
Madrid;La Montaña;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO LITTERATOR;28067859;Centro privado;CALLE del Patrimonio Mundial 5;28300;918927139
Madrid;Las Rozas de Madrid;Centro Privado de Formación Profesional Específica;U-TAD CENTRO PROFESIONAL DE TECNOLOGIA Y ARTE DIGITAL;28074864;Centro privado;CALLE Playa de Liencres,complejo Europa Empresarial 2DUPL;28290;916402811
Madrid;Las Rozas de Madrid;Instituto de Educación Secundaria;EL BURGO-IGNACIO ECHEVERRÍA;28040787;Centro público;AVDA de España 141;28231;916393511
Madrid;Leganés;Centro Privado de Educación Infantil Primaria y Secundaria;LEGAMAR;28032985;Centro privado;CTRA LEGANES-FUENLABRADA km1,5;28914;916933812
Madrid;Leganés;Instituto de Educación Secundaria;JULIO VERNE;28039864;Centro público;CALLE de la Ingeniería 4;28918;916807665
Madrid;Leganés;Instituto de Educación Secundaria;LUIS VIVES;28003894;Centro público;PASEO de la Ermita 15;28918;916807712
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;CASA DE LA VIRGEN;28020156;Centro privado;CALLE de la Virgen del Val 1;28027;914041788
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;CENTRO CULTURAL SALMANTINO;28016271;Centro privado;CALLE del Puerto de Pajares 6;28053;914786571
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;CIUDAD DE LOS MUCHACHOS;28011593;Centro privado;CALLE de Santa Marta 15;28038;914342030
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO INTERNACIONAL J.H. NEWMAN;28064202;Centro privado;AVDA de Guadalajara 28-32;28032;917609184
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO LA MILAGROSA;28013048;Centro privado;CALLE de Monseñor Oscar Romero 54;28025;914623066
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;EDITH STEIN;28069261;Centro privado;CALLE Simca 20;28041;913412879
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;EL VALLE II;28065735;Centro privado;CALLE de Ana de Austria 60;28050;917188426
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;INSTITUCION PROFESIONAL SALESIANA;28022475;Centro privado;RONDA de Don Bosco 3;28044;915087640
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;INTERNACIONAL NUEVO CENTRO;28041196;Centro privado;CTRA toledo a villaverde k0.5;28041;917950161
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;JESUS MARIA;28012354;Centro privado;CALLE de Juan Bravo 13;28006;914319520
Madrid;Madrid;Centro Privado de Educación Infantil Primaria y Secundaria;JOYFE;28026183;Centro privado;CALLE de Vital Aza 65;28017;914082263
